video,dataset,prompt,release_date,split
1b2s_E_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-12-08,train
1b2s_F_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-12-08,train
1b2s_F_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-12-08,train
1b2s_F_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-12-08,train
1b8d_K_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-02-18,train
1b8d_K_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-02-18,train
1b8d_K_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-02-18,train
1bgf_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-09-16,train
1bgf_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-09-16,train
1bgf_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-09-16,train
1bkp_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-02-02,train
1bkp_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-02-02,train
1bkp_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-02-02,train
1bq8_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-08-26,train
1bq8_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-08-26,train
1bq8_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-08-26,train
1btk_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-09-17,train
1btk_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-09-17,train
1btk_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1997-09-17,train
1bx7_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-04-27,train
1bx7_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-04-27,train
1bx7_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-04-27,train
1bxy_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-10-14,train
1bxy_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-10-14,train
1bxy_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-10-14,train
1by2_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-05-18,train
1by2_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-05-18,train
1by2_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-05-18,train
1c1k_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-02-16,train
1c1k_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-02-16,train
1c1k_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-02-16,train
1c52_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-06-24,train
1c52_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-06-24,train
1c52_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1998-06-24,train
1c96_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-08-12,train
1c96_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-08-12,train
1c96_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-08-12,train
1chd_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1996-01-29,train
1chd_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1996-01-29,train
1chd_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1996-01-29,train
1coj_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-06-14,train
1coj_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-06-14,train
1coj_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-06-14,train
1cpq_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1996-12-07,train
1cpq_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1996-12-07,train
1cpq_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1996-12-07,train
1ctf_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1987-01-15,train
1ctf_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1987-01-15,train
1ctf_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1987-01-15,train
1cuo_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-08-23,train
1cuo_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-08-23,train
1cuo_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-08-23,train
1d2t_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-12-06,train
1d2t_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-12-06,train
1d2t_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-12-06,train
1d3y_B_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-11-05,train
1d3y_B_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-11-05,train
1d3y_B_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-11-05,train
1d4t_A_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-10-14,train
1d4t_A_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-10-14,train
1d4t_A_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-10-14,train
1dci_C_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-03-30,train
1dci_C_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-03-30,train
1dci_C_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-03-30,train
1dd3_B_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-11-13,train
1dd3_B_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-11-13,train
1dd3_B_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",2000-11-13,train
1dfu_P_R1.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-12-02,train
1dfu_P_R2.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-12-02,train
1dfu_P_R3.mp4,atlas,"Simulations were performed on proteins only, using the all-atom CHARMM36m force field (July 2020) in explicit TIP3P water within a periodic triclinic box, with Na⁺/Cl⁻ ions added to neutralise the system at 150 mM, and a production run length of 50 ns. Keep the same chain connectivity and backbone topology as the input frame.",1999-12-02,train
